"","income","weights","Sex","Ethnicity","Father_Occ","Mother_Occ","Mother_Edu","Father_Edu","Birth_Area"
"1",9758.11516180969,102,1,2,3,3,6,6,3
"2",8703.01913719834,101,0,2,3,0,0,0,4
"3",9472.30217341602,227,1,2,3,0,0,2,4
"4",2510.13659308577,210,1,5,3,0,6,6,3
"5",25539.4568985259,13,1,2,2,0,0,0,3
"6",2615.48282933456,33,0,3,3,0,1,0,2
"7",4830.67071210132,90,0,2,3,0,0,0,4
"8",3383.31814431361,177,0,2,2,5,3,3,4
"9",3141.06749253205,61,0,2,3,0,0,8,4
"10",8824.03428410327,101,0,2,4,0,12,12,4
"11",15653.2874194083,101,1,2,3,0,0,2,4
"12",6379.51470892675,179,1,5,3,0,6,0,4
"13",3760.06775552441,179,1,2,3,0,0,0,3
"14",5182.21123388618,101,0,2,2,0,0,1,2
"15",8211.38086343214,74,0,2,3,3,1,0,4
"16",12982.0943270163,142,0,2,3,3,8,6,3
"17",8056.82935475429,101,1,2,3,3,0,3,4
"18",5674.02268753771,94,1,3,3,3,0,0,3
"19",3142.90340493546,133,0,3,3,3,0,0,3
"20",4857.96225922191,101,1,2,3,0,0,2,4
"21",1745.455717009,23,1,3,3,3,6,6,4
"22",2641.27768995856,71,0,2,3,0,0,0,3
"23",14263.3273322049,378,1,2,2,0,12,12,4
"24",9105.36310972717,80,0,3,3,3,0,0,2
"25",17309.1128898513,256,1,2,2,0,7,6,4
"26",25513.9510169017,123,0,2,1,2,6,6,2
"27",1782.13023947104,77,0,2,3,0,6,6,3
"28",17562.7025183571,13,1,2,3,0,6,6,3
"29",15681.7558705024,44,0,3,3,3,0,0,4
"30",13296.1484119952,133,1,3,2,6,6,12,4
"31",4275.72604277057,83,1,2,3,3,0,0,4
"32",11166.9828306471,74,1,2,3,0,6,4,4
"33",6403.69637607929,130,1,2,4,0,3,4,4
"34",6567.07801344483,69,0,2,4,0,0,0,4
"35",1605.66956707339,15,1,3,3,2,0,0,4
"36",13611.1230007313,342,0,2,2,6,12,6,4
"37",18797.5372717382,342,1,2,6,6,12,8,4
"38",9183.95024564651,65,0,2,4,6,11,12,4
"39",5749.91075733804,432,0,4,3,0,0,0,4
"40",9940.12303194257,139,1,2,4,0,3,3,4
"41",1080.22956655596,1413,0,2,4,6,12,6,4
"42",4941.68562049431,256,0,2,2,0,0,6,4
"43",5354.40574929183,36,1,2,3,0,3,3,3
